text,label
am I supposed to take a dose,ask_med_details
am I supposed to take any pills,ask_med_details
am I supposed to take any pills right now,ask_med_details
am I supposed to take anything now,ask_med_details
am I taking any pills at the moment,ask_med_details
am I taking any tablets right now,ask_med_details
am I taking anything right now,ask_med_details
am I taking medicine right now,ask_med_details
am I taking meds right now,ask_med_details
am I to take anything right now,ask_med_details
can you go over my medicine,ask_med_details
can you guide me about my medication,ask_med_details
can you help me with my medicines,ask_med_details
can you list my medications,ask_med_details
can you show me my current medicine,ask_med_details
can you show me my dose,ask_med_details
can you show me the medication list,ask_med_details
can you show me which medicine to take,ask_med_details
can you tell me about which medicines I need to take,ask_med_details
can you tell me my meds,ask_med_details
can you tell me which medicine i've already taken?,ask_med_details
can you tell me which medicine i've taken already?,ask_med_details
can you tell me which medicine i've taken?,ask_med_details
can you tell me which medicines I took already,ask_med_details
check my medicine,ask_med_details
check what tablets I have to take,ask_med_details
check what tablets I need to take,ask_med_details
check what the dose is right now,ask_med_details
check which medicines I have to take now,ask_med_details
check which medicines I need,ask_med_details
check which medicines I need to take,ask_med_details
check which meds I have to take,ask_med_details
check which meds I need,ask_med_details
check which pills to take right now,ask_med_details
check which tablets I need to take,ask_med_details
could you tell me which medicines I need,ask_med_details
do I need to take any medicine now,ask_med_details
got any meds for me,ask_med_details
I need help with my medicine,ask_med_details
is there a medicine i need to take?,ask_med_details
is there a medicine i should take?,ask_med_details
let me know which medicines to take,ask_med_details
list my medication,ask_med_details
List my medicines,ask_med_details
List my medicines!,ask_med_details
List my medicines.,ask_med_details
list my meds,ask_med_details
may I know my medication,ask_med_details
please inform me about my medicine,ask_med_details
please inform me of my dose,ask_med_details
please tell me my medicine routine,ask_med_details
remind me which medicines I've taken,ask_med_details
show me my medicine,ask_med_details
tell me about my doses,ask_med_details
tell me about the medicine,ask_med_details
what pills should I take right now?,ask_med_details
What am I supposed to take,ask_med_details
What am I supposed to take!,ask_med_details
What am I supposed to take.,ask_med_details
what are my doses,ask_med_details
what are my medicine,ask_med_details
what is my next dose,ask_med_details
what is my next dose look like,ask_med_details
What medicine do I need to take,ask_med_details
What medicine do I need to take!,ask_med_details
what medicine do I need to take?,ask_med_details
what medicine do i need?,ask_med_details
what medicine do I take,ask_med_details
what medicine is due now,ask_med_details
what medicine should i take?,ask_med_details
what meds do I have to take ,ask_med_details
what meds do I need to take,ask_med_details
what pills am I taking,ask_med_details
what pills do I have,ask_med_details
What pills should I take now,ask_med_details
What pills should I take now.,ask_med_details
what pills should I take now?,ask_med_details
what pills should I take?,ask_med_details
what tablets should I take,ask_med_details
what is my dosage for the day,ask_med_details
what is my dose today,ask_med_details
what is on the medicine list,ask_med_details
medicine plan,ask_med_details
tell me my medicine plan,ask_med_details
Is there a medicine plan I have to follow,ask_med_details
whats my medicine plan for the day,ask_med_details
which are my medicine,ask_med_details
Which medicine is next,ask_med_details
Which medicine is next.,ask_med_details
Which meds do I take all day,ask_med_details
which of the medicines do I have to take right now?,ask_med_details
which pills should I take now?,ask_med_details
would you mind listing my medications,ask_med_details
list my meds,ask_med_details
listing my medicaions,ask_med_details
please listing my medications,ask_med_details
i need you to list my medications,ask_med_details
list medication,ask_med_details
medication list,ask_med_details
go ahead and list medications,ask_med_details
med list,ask_med_details
list of medication to take,ask_med_details
medication list,ask_med_details
medicine list,ask_med_details
list the medicine,ask_med_details
tell me the list of medicines,ask_med_details
what is the list of medicine,ask_med_details
you know the medicines i took?,ask_med_details
Which pills do I need now?,ask_med_details
What medicines should I take?,ask_med_details
Tell me my dose schedule,ask_med_details
What dosage for my blood pressure pill?,ask_med_details
Which meds go together?,ask_med_details
How many tablets do I take?,ask_med_details
What capsule is next?,ask_med_details
List today's medications,ask_med_details
What do I take after breakfast?,ask_med_details
In what order do I take my meds?,ask_med_details
What are my morning pills?,ask_med_details
Which medicine is for cholesterol?,ask_med_details
What is my evening dose?,ask_med_details
Which tablets go before dinner?,ask_med_details
Tell me my prescription list,ask_med_details
What dose is my insulin?,ask_med_details
Which pills are for pain?,ask_med_details
How many times a day do I take this?,ask_med_details
What is the quantity of each med?,ask_med_details
Which drug is the first tablet?,ask_med_details
Show me my pill regimen,ask_med_details
What medicine is due now?,ask_med_details
Which meds are left?,ask_med_details
What is my pill lineup today?,ask_med_details
How should I take these meds?,ask_med_details
Which medication is next?,ask_med_details
What is my dose for vitamin D?,ask_med_details
Which pill helps my anxiety?,ask_med_details
What pill is for my heart?,ask_med_details
Remind me what meds to take,ask_med_details
Next medicine time,ask_schedule
When do I take my next medicine,ask_schedule
When is my next dose,ask_schedule
medicine schedule,ask_schedule
medicine schedule,ask_schedule
medicine schedule,ask_schedule
what does my medicine shedule look like,ask_schedule
tell me my medicine schedule,ask_schedule
medicine schedule,ask_schedule
lets go over my medicine schedule,ask_schedule
tell me my medicine schedule,ask_schedule
discuss my medicine shcedule,ask_schedule
My medicine schedule today,ask_schedule
Tell me today's schedule,ask_schedule
When is my next dose.,ask_schedule
What time is my next pill,ask_schedule
My medicine schedule today.,ask_schedule
When do I take my next medicine.,ask_schedule
Next medicine time!,ask_schedule
Next medicine time.,ask_schedule
What time is my next pill.,ask_schedule
What time is my next pill!,ask_schedule
show me the alarms i set,ask_schedule
do i have any alarms,ask_schedule
show alarms,ask_schedule
do i have any alarms set for today,ask_schedule
hey google tell me what alarms are set for me,ask_schedule
what are my alarms,ask_schedule
list all of my upcoming alarms,ask_schedule
alarm status,ask_schedule
what's my next alarm,ask_schedule
please check alarms,ask_schedule
please tell me my alarms,ask_schedule
i need to set an alarm how many do i have set,ask_schedule
what days are my alarms set for,ask_schedule
can you tell me what alarms i have set,ask_schedule
check if any alarm is there after five am,ask_schedule
is there any alarm after five am,ask_schedule
when is my alarm set for,ask_schedule
alarms,ask_schedule
what alarms do i have set for today,ask_schedule
how many alarms do i have,ask_schedule
what time will my alarm go off today,ask_schedule
did you set the alarm for five am,ask_schedule
what alarms are set in the morning,ask_schedule
what alarms do i have scheduled for tomorrow,ask_schedule
alexa provide me the alarm times you have set,ask_schedule
are there any alarms set,ask_schedule
what alarms do you have set,ask_schedule
what alarms are set in the house,ask_schedule
did i set my house alarm,ask_schedule
what home alarms have been set,ask_schedule
would you please check to see if i've set my alarm for tomorrow morning,ask_schedule
what alarms do i have set,ask_schedule
what alarms do i have,ask_schedule
let me see my alarms,ask_schedule
what alarms do i got,ask_schedule
read me my alarms,ask_schedule
how many alarms have i set,ask_schedule
may i know the about alarm you set,ask_schedule
what alarms have been set for me,ask_schedule
do i have alarms set for today,ask_schedule
do i have alarms set,ask_schedule
what time are my alarms,ask_schedule
list all the alarms,ask_schedule
review the alarms i have,ask_schedule
tell me time of alarm you set,ask_schedule
let me know about the alarms you set,ask_schedule
do i have alarms set before six in the morning,ask_schedule
what time are my alarms set for,ask_schedule
what time is alarm set for,ask_schedule
confirm alarm for tomorrow morning,ask_schedule
when will my alarm go off in the morning,ask_schedule
what alarms have i set for tomorrow,ask_schedule
what time is the alarm set for tomorrow,ask_schedule
what time is the alarm set for tomorrow morning,ask_schedule
is the alarm set for tomorrow morning,ask_schedule
check whether i have set any alarms for tomorrow morning,ask_schedule
olly show me my alarms,ask_schedule
show me my alarms,ask_schedule
do i have any alarms set,ask_schedule
what time i am waking up tomorrow,ask_schedule
what time is my alarm set for,ask_schedule
show me all scheduled alarms,ask_schedule
what alarms will wake me up tomorrow,ask_schedule
would like to know the alarm you sent,ask_schedule
how many alarms are currently set,ask_schedule
checkout today alarm of meeting,ask_schedule
are there any alarms set right now,ask_schedule
what alarms are set right now,ask_schedule
confirm the alarm time,ask_schedule
please list active alarms,ask_schedule
check if i have set any alarm for morning,ask_schedule
confirm i have set an alarm for six am,ask_schedule
my alarms,ask_schedule
are there any alarms set what are they,ask_schedule
what are the next three alarms set to go off,ask_schedule
list all set alarms,ask_schedule
what alarms are set for this week,ask_schedule
have i got any alarms set,ask_schedule
what alarms are on right now,ask_schedule
which alarms do i have,ask_schedule
list alarms,ask_schedule
please read me my alarms,ask_schedule
how many alarms are listed,ask_schedule
is the alarm to the backdoor set and ready to go,ask_schedule
is there any alarm active,ask_schedule
do i have any alarms set for tomorrow,ask_schedule
what alarms are currently set,ask_schedule
show me the alarms that are set,ask_schedule
show me all of my active alarms,ask_schedule
how many alarms are set,ask_schedule
are there any alarms for today,ask_schedule
if there any alarm is set then let me know,ask_schedule
have i set any alarm for today,ask_schedule
show me the list of alarms,ask_schedule
what's the alarm situation for tomorrow,ask_schedule
just see for me the alarms that you have set today morning,ask_schedule
then tap ok,ask_schedule
just to confirm you set the alarm to go off at eight hundred,ask_schedule
what time is my alarm set for tomorrow morning,ask_schedule
tell me if my alarm is set for the morning,ask_schedule
which alarms are set in the phone,ask_schedule
is there an alarm at four am,ask_schedule
let me know the alarm time,ask_schedule
what alarm time had you set,ask_schedule
is my wake up alarm set a six am,ask_schedule
do i currently have any alarms set,ask_schedule
let me know about any alarms set today,ask_schedule
remind me about my alarms today,ask_schedule
is my work alarm set for tomorrow,ask_schedule
do i have an alarm set for morning flight,ask_schedule
when is the next alarm,ask_schedule
what alarms do i have set for thursday,ask_schedule
could you tell me about the alerts i have set,ask_schedule
review set alarms,ask_schedule
do i have an alarm set for today,ask_schedule
what time will my alarm wake me up,ask_schedule
give me the alarm times for the next two days,ask_schedule
have i set any alarms in the morning,ask_schedule
at what time is my alarm set,ask_schedule
can you tell me about the alarm called bed,ask_schedule
are there any alarms,ask_schedule
what's the description for the alarm at eleven am,ask_schedule
what's my next scheduled alarm,ask_schedule
list all of my alarms,ask_schedule
please tell me about upcoming alarms,ask_schedule
what alarms are coming up,ask_schedule
show me the alarms i've set,ask_schedule
What time is it,ask_time
Time please.,ask_time
Tell me the time.,ask_time
Do you know the time,ask_time
Can you tell me the time,ask_time
What time is it!,ask_time
Tell me the time,ask_time
Current time please,ask_time
Time please,ask_time
Do you know the time!,ask_time
Current time please!,ask_time
Current time please.,ask_time
What time is it.,ask_time
Can you tell me the time.,ask_time
Time please!,ask_time
give me the time,ask_time
what time is it tomorrow,ask_time
Do you know what time it is?,ask_time
Can you tell me the time?,ask_time
what is the current date today,ask_time
what time is it,ask_time
what time is it day before tomorrow,ask_time
what time is it in new york city,ask_time
Do you know the time?,ask_time
what will be the time now in washington,ask_time
what day of the week is the first of march,ask_time
show me boston's current time,ask_time
what week of the year does the summer season start,ask_time
Time,ask_time
what is the day on twenty third march,ask_time
what time is it in denver,ask_time
how time is it,ask_time
what is the current day month and year,ask_time
what is the time,ask_time
what time is it in singapore,ask_time
what is today's date,ask_time
what is the month day and year,ask_time
What is the time?,ask_time
Tell me what time it is?,ask_time
give me the time in phoenix az,ask_time
what time is it now,ask_time
what's the time in new york,ask_time
what day of the week is june twenty seventh on this year,ask_time
give me date,ask_time
give me the time,ask_time
I need to know the time,ask_time
what day of the week does the fifteenth of march fall on,ask_time
what is the current time right now,ask_time
on what date is easter this year,ask_time
what time is it in karachi right now,ask_time
what time is it in this city,ask_time
is there a national holiday on fifth december,ask_time
twenty second april day,ask_time
tell me what time it is right now,ask_time
show me the time,ask_time
what day of the week does christmas fall on this year,ask_time
what is the time for the eastern time zone,ask_time
